project,smell_type,count_before,count_after,delta,status
52_lagoon,Exceptions due to external dependencies,22,7,-15,ok
52_lagoon,Exceptions due to incomplete setup,32,3,-29,ok
52_lagoon,Exceptions due to null arguments,22,5,-17,ok
52_lagoon,Multiple calls to the same void method,80,78,-2,ok
52_lagoon,Not asserted return values,25,46,21,ok
52_lagoon,Not asserted side effects,104,103,-1,ok
52_lagoon,Not null assertion,5,36,31,ok
52_lagoon,Testing only field accesors,32,28,-4,ok
52_lagoon,Testing the same exception scenario,68,0,-68,ok
53_shp2kml,Asserting object initialization multiple times,7,4,-3,ok
53_shp2kml,Exceptions due to incomplete setup,3,0,-3,ok
53_shp2kml,Not asserted return values,0,1,1,ok
53_shp2kml,Not null assertion,1,1,0,ok
53_shp2kml,Testing the same exception scenario,2,0,-2,ok
54_db-everywhere,Asserting object initialization multiple times,226,202,-24,ok
54_db-everywhere,Duplicated Setup,338,323,-15,ok
54_db-everywhere,Exceptions due to incomplete setup,13,11,-2,ok
54_db-everywhere,Exceptions due to null arguments,84,73,-11,ok
54_db-everywhere,Multiple calls to the same void method,119,159,40,ok
54_db-everywhere,Not asserted return values,130,93,-37,ok
54_db-everywhere,Not asserted side effects,292,301,9,ok
54_db-everywhere,Not null assertion,0,4,4,ok
54_db-everywhere,Testing only field accesors,254,227,-27,ok
54_db-everywhere,Testing the same exception scenario,101,88,-13,ok
55_lavalamp,Asserting object initialization multiple times,62,60,-2,ok
55_lavalamp,Duplicated Setup,29,21,-8,ok
55_lavalamp,Exceptions due to external dependencies,2,0,-2,ok
55_lavalamp,Exceptions due to incomplete setup,11,4,-7,ok
55_lavalamp,Exceptions due to null arguments,7,2,-5,ok
55_lavalamp,Multiple calls to the same void method,7,13,6,ok
55_lavalamp,Not asserted return values,18,8,-10,ok
55_lavalamp,Not asserted side effects,43,41,-2,ok
55_lavalamp,Not null assertion,0,7,7,ok
55_lavalamp,Testing only field accesors,51,49,-2,ok
55_lavalamp,Testing the same exception scenario,5,3,-2,ok
56_jhandballmoves,Asserting Constants,47,15,-32,ok
56_jhandballmoves,Asserting object initialization multiple times,140,117,-23,ok
56_jhandballmoves,Duplicated Setup,249,206,-43,ok
56_jhandballmoves,Exceptions due to incomplete setup,24,8,-16,ok
56_jhandballmoves,Exceptions due to null arguments,26,6,-20,ok
56_jhandballmoves,Multiple calls to the same void method,187,190,3,ok
56_jhandballmoves,Not asserted return values,23,20,-3,ok
56_jhandballmoves,Not asserted side effects,236,235,-1,ok
56_jhandballmoves,Not null assertion,0,21,21,ok
