project,smell_type,count_before,count_after,delta,test_methods,loc_tests,density_before_tests,density_after_tests,delta_density_tests,density_before_loc,density_after_loc,delta_density_loc,status
13_jdbacl,Exceptions due to incomplete setup,93,58,-35,1152,12877,0.08072917,0.05034722,-0.03038194,0.00722218,0.00450415,-0.00271802,ok
13_jdbacl,Exceptions due to null arguments,84,73,-11,1152,12877,0.07291667,0.06336806,-0.00954861,0.00652326,0.00566902,-0.00085424,ok
13_jdbacl,Multiple calls to the same void method,54,63,9,1152,12877,0.04687500,0.05468750,0.00781250,0.00419352,0.00489244,0.00069892,ok
13_jdbacl,Not asserted return values,97,96,-1,1152,12877,0.08420139,0.08333333,-0.00086806,0.00753281,0.00745515,-0.00007766,ok
13_jdbacl,Not asserted side effects,128,142,14,1152,12877,0.11111111,0.12326389,0.01215278,0.00994020,0.01102741,0.00108721,ok
13_jdbacl,Not null assertion,9,20,11,1152,12877,0.00781250,0.01736111,0.00954861,0.00069892,0.00155316,0.00085424,ok
13_jdbacl,Testing only field accesors,136,107,-29,1152,12877,0.11805556,0.09288194,-0.02517361,0.01056147,0.00830939,-0.00225208,ok
13_jdbacl,Testing the same exception scenario,132,103,-29,1152,12877,0.11458333,0.08940972,-0.02517361,0.01025083,0.00799876,-0.00225208,ok
14_omjstate,Asserting object initialization multiple times,28,25,-3,46,607,0.60869565,0.54347826,-0.06521739,0.04612850,0.04118616,-0.00494234,ok
14_omjstate,Duplicated Setup,12,5,-7,46,607,0.26086957,0.10869565,-0.15217391,0.01976936,0.00823723,-0.01153213,ok
14_omjstate,Multiple calls to the same void method,2,2,0,46,607,0.04347826,0.04347826,0.00000000,0.00329489,0.00329489,0.00000000,ok
14_omjstate,Not asserted return values,10,0,-10,46,607,0.21739130,0.00000000,-0.21739130,0.01647446,0.00000000,-0.01647446,ok
14_omjstate,Not asserted side effects,2,2,0,46,607,0.04347826,0.04347826,0.00000000,0.00329489,0.00329489,0.00000000,ok
14_omjstate,Testing only field accesors,7,6,-1,46,607,0.15217391,0.13043478,-0.02173913,0.01153213,0.00988468,-0.00164745,ok
15_beanbin,Asserting object initialization multiple times,40,33,-7,75,1264,0.53333333,0.44000000,-0.09333333,0.03164557,0.02610759,-0.00553797,ok
15_beanbin,Duplicated Setup,30,25,-5,75,1264,0.40000000,0.33333333,-0.06666667,0.02373418,0.01977848,-0.00395570,ok
15_beanbin,Exceptions due to incomplete setup,1,0,-1,75,1264,0.01333333,0.00000000,-0.01333333,0.00079114,0.00000000,-0.00079114,ok
15_beanbin,Exceptions due to null arguments,5,2,-3,75,1264,0.06666667,0.02666667,-0.04000000,0.00395570,0.00158228,-0.00237342,ok
15_beanbin,Multiple calls to the same void method,2,4,2,75,1264,0.02666667,0.05333333,0.02666667,0.00158228,0.00316456,0.00158228,ok
15_beanbin,Not asserted return values,7,3,-4,75,1264,0.09333333,0.04000000,-0.05333333,0.00553797,0.00237342,-0.00316456,ok
